Country names,RCT_ID,RCT_ID_duplicates,country,region_detail,continent,continent_region,country_count,region_count,is_multi_country,is_multi_region,is_online
Dominican Republic (Latin America and the Caribbean (LAC)),AEARCTR-0009174,AEARCTR-0009174,Dominican Republic,Latin America and the Caribbean (LAC,North America,Caribbean,1,1,False,False,False
Private,AEARCTR-0009175,AEARCTR-0009175,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009177,AEARCTR-0009177,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009178,AEARCTR-0009178,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009181,AEARCTR-0009181,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009183,AEARCTR-0009183,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009185,AEARCTR-0009185,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009186,AEARCTR-0009186,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009188,AEARCTR-0009188,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
India (West Bengal),AEARCTR-0009190,AEARCTR-0009190,India,West Bengal,Asia,South Asia,1,1,False,False,False
Private,AEARCTR-0009191,AEARCTR-0009191,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Mozambique (),AEARCTR-0009192,AEARCTR-0009192,Mozambique,No additional info,Africa,East Africa,1,0,False,False,False
Private,AEARCTR-0009194,AEARCTR-0009194,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009195,AEARCTR-0009195,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009198,AEARCTR-0009198,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009200,AEARCTR-0009200,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009201,AEARCTR-0009201,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
India (),AEARCTR-0009202,AEARCTR-0009202,India,No additional info,Asia,South Asia,1,0,False,False,False
Private,AEARCTR-0009206,AEARCTR-0009206,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009207,AEARCTR-0009207,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009209,AEARCTR-0009209,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009211,AEARCTR-0009211,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009212,AEARCTR-0009212,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009213,AEARCTR-0009213,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009214,AEARCTR-0009214,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009215,AEARCTR-0009215,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Ethiopia (Addis Ababa),AEARCTR-0009216,AEARCTR-0009216,Ethiopia,Addis Ababa,Africa,East Africa,1,1,False,False,False
Private,AEARCTR-0009221,AEARCTR-0009221,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009222,AEARCTR-0009222,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United States of America (),AEARCTR-0009223,AEARCTR-0009223,United States of America,No additional info,North America,North America,1,0,False,False,False
Private,AEARCTR-0009224,AEARCTR-0009224,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009226,AEARCTR-0009226,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009227,AEARCTR-0009227,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009229,AEARCTR-0009229,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United States of America (),AEARCTR-0009230,AEARCTR-0009230,United States of America,No additional info,North America,North America,1,0,False,False,False
Private,AEARCTR-0009231,AEARCTR-0009231,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009232,AEARCTR-0009232,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009233,AEARCTR-0009233,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009234,AEARCTR-0009234,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
"Canada (Montreal, Québec)",AEARCTR-0009236,AEARCTR-0009236,Canada,"Montreal, Québec",North America,North America,1,1,False,False,False
China (),AEARCTR-0009241,AEARCTR-0009241,China,No additional info,Asia,East Asia,1,0,False,False,False
Private,AEARCTR-0009274,AEARCTR-0009274,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009275,AEARCTR-0009275,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
